class,age,male,female
0,0 to 1,513.65,475.54
1,1 to 5,1982.87,1832.58
10,10 to 15,2701.41,2565.04
15,15 to 20,3033.42,3057.76
20,20 to 25,3015.69,2843.14
25,25 to 30,2923.03,2670.33
30,30 to 35,2823.24,2615.68
35,35 to 40,2664.81,2481.36
40,40 to 45,2397.48,2340.83
45,45 to 50,2143.73,2061.51
5,5 to 10,2235.5,2062.2
50,50 to 55,1876.36,1899.72
55,55 to 60,1684.46,1621.09
60,60 to 65,1410.39,1378.58
65,65 to 70,1039.58,1079.25
70,70 to 75,679.64,749.48
75,75 to 80,377.38,463.42
80,80 and over,322.65,364.61
