class,age,male,female
0,0 to 1,1512.39,1275.34
1,1 to 5,5838.38,4914.75
10,10 to 15,7474.61,6916.65
15,15 to 20,7712.13,7350.02
20,20 to 25,7755.14,7524.44
25,25 to 30,7773.73,7501.42
30,30 to 35,7701.69,7212.19
35,35 to 40,7310.69,6544.13
40,40 to 45,6285.08,5872.52
45,45 to 50,5508.98,5235.44
5,5 to 10,6822.32,6066.66
50,50 to 55,4797.4,4917.39
55,55 to 60,4564.69,4280.82
60,60 to 65,3904.05,3561.04
65,65 to 70,2793.97,2534.42
70,70 to 75,1865,1798.57
75,75 to 80,1181.63,1101.39
80,80 and over,949.59,877.39
