class,age,male,female
0,0 to 1,744.59,679.7
1,1 to 5,2874.38,2619.33
10,10 to 15,3905.54,3671.9
15,15 to 20,4206.7,4185.07
20,20 to 25,4310.44,4246.27
25,25 to 30,4240.02,3993.7
30,30 to 35,3972.76,3733.02
35,35 to 40,3693.53,3498.03
40,40 to 45,3348.06,3293.68
45,45 to 50,3072.47,2935.6
5,5 to 10,3493.52,3165.26
50,50 to 55,2620.56,2664.25
55,55 to 60,2360.15,2198.22
60,60 to 65,1917,1797.95
65,65 to 70,1338.86,1291.93
70,70 to 75,830.01,914.89
75,75 to 80,520.95,551.58
80,80 and over,412.91,476.86
