class,age,male,female
0,0 to 1,216.79,200.73
1,1 to 5,836.91,773.55
10,10 to 15,1022.71,976.29
15,15 to 20,1013.97,1006.46
20,20 to 25,975.12,906.83
25,25 to 30,939.46,890.4
30,30 to 35,916.07,886.98
35,35 to 40,885.61,825.54
40,40 to 45,793.45,782.35
45,45 to 50,713.49,682.95
5,5 to 10,956.19,894.62
50,50 to 55,620.11,622.56
55,55 to 60,558.69,572.56
60,60 to 65,521.94,521.24
65,65 to 70,368.44,381.37
70,70 to 75,227.53,255.78
75,75 to 80,123.55,158.02
80,80 and over,110.2,140.35
