class,age,male,female
0,0 to 1,3133.12,2830.16
1,1 to 5,12095.01,10906.52
10,10 to 15,17942.93,16576.62
15,15 to 20,18236.1,17810.52
20,20 to 25,20387.79,19338.03
25,25 to 30,20061.29,19190.49
30,30 to 35,18909.76,17709.1
35,35 to 40,17758.73,16765.16
40,40 to 45,16229.97,15401.24
45,45 to 50,14568.15,13742.61
5,5 to 10,15444.87,13797.21
50,50 to 55,12485.5,12235.19
55,55 to 60,10766.66,10381.72
60,60 to 65,9041.54,8334.82
65,65 to 70,6883.35,6780.64
70,70 to 75,4864.02,5241.42
75,75 to 80,3581.36,3647.07
80,80 and over,2859.56,3092.95
