class,age,male,female
0,0 to 1,1038.13,930.55
1,1 to 5,4007.56,3586.04
10,10 to 15,5903.12,5401.59
15,15 to 20,6174.5,6076.22
20,20 to 25,6756.95,6593.99
25,25 to 30,7186.64,6947.98
30,30 to 35,6679.75,6172.11
35,35 to 40,5985.19,5649.02
40,40 to 45,5512.66,5322.63
45,45 to 50,4934.21,4811.45
5,5 to 10,4989.26,4477.78
50,50 to 55,4502.6,4573.78
55,55 to 60,4131.16,3866.76
60,60 to 65,3299.51,3000.02
65,65 to 70,2486.51,2421.45
70,70 to 75,1870.62,2079.81
75,75 to 80,1513.17,1496.83
80,80 and over,1200.56,1223.63
