class,age,male,female
0,0 to 1,3108.68,2719.61
1,1 to 5,12000.65,10480.48
10,10 to 15,17296.43,16605.91
15,15 to 20,16911.8,16706.66
20,20 to 25,16693.66,15280.45
25,25 to 30,15662.38,14980.02
30,30 to 35,14562.88,14741.21
35,35 to 40,13697.37,13903.62
40,40 to 45,12663.43,12452.89
45,45 to 50,11165.38,10533.68
5,5 to 10,15684.14,14097.85
50,50 to 55,9320.58,9907.55
55,55 to 60,8292.57,8257.71
60,60 to 65,7112.48,7283.11
65,65 to 70,5211.59,5103.66
70,70 to 75,3548.32,3918.03
75,75 to 80,2251.58,2271.25
80,80 and over,1870.14,2037.39
