class,age,male,female
0,0 to 1,1337.31,1238.01
1,1 to 5,5162.53,4770.87
10,10 to 15,7029.66,6675.78
15,15 to 20,7892.37,7955
20,20 to 25,7844.87,7391.99
25,25 to 30,7602.07,6942.04
30,30 to 35,7339.55,6798.72
35,35 to 40,6926.82,6447.9
40,40 to 45,6229.65,6081.65
45,45 to 50,5569.55,5355.43
5,5 to 10,5819.67,5368.72
50,50 to 55,4875.12,4936.84
55,55 to 60,4378.06,4215.79
60,60 to 65,3670.45,3586.86
65,65 to 70,2705.64,2806
70,70 to 75,1767.29,1947.83
75,75 to 80,981.24,1204
80,80 and over,839.22,948.41
