class,age,male,female
0,0 to 1,1457.61,1247.09
1,1 to 5,5626.91,4805.89
10,10 to 15,7664.17,7059.95
15,15 to 20,7355.09,7280.97
20,20 to 25,7637.07,7401.55
25,25 to 30,7508.79,7045.89
30,30 to 35,7420.83,6886.69
35,35 to 40,6855.06,6250.17
40,40 to 45,5997.79,5548.6
45,45 to 50,5270.32,4771.22
5,5 to 10,6766.64,5933.36
50,50 to 55,4453.89,4282.82
55,55 to 60,4004.1,3591.36
60,60 to 65,3296.28,3057.62
65,65 to 70,2319.33,2079.92
70,70 to 75,1539.69,1477.44
75,75 to 80,910.42,880.58
80,80 and over,827.61,767.45
