block_name,object_id,Mean_Daily_Runoff,Sum_Runoff,Peak_Runoff
CHHENDIPADA,21-384-03279,1.3886742424242422,1374.7875,44.803
CHIKITI,21-388-03370,6.1566833333333335,1847.0049999999999,77.486
CHILIKA,21-386-03462,4.578198333333333,274.6919,25.4108
CHITRAKONDA,21-399-03483,2.8868867592592595,3117.8377,34.3775
CUTTACKSADAR,21-381-03337,4.718640476190476,1981.829,69.7071
DABUGAM,21-397-03514,7.525920952380952,3160.8867999999998,134.9263
DAHRMASALA,21-382-03397,2.9251387179487183,1140.8040999999998,38.9505
DANAGADI,21-382-03398,2.2913276190476193,962.3575999999999,74.6584
DARINGIBADI,21-390-03424,2.8249622962962966,3813.6991,32.7956
DASAMANTAPUR,21-398-03469,3.160522795698925,2939.2862,59.2161
DASAPALLA,21-385-03524,2.86883125,2754.078,72.6113
DASARATHAPUR,21-382-03399,2.284556111111111,411.2201,38.3477
DELANGA,21-387-03538,3.662928095238095,769.2149000000001,40.0347
DEOGAON,21-393-03288,1.6626420370370372,897.8267000000001,30.1512
DERABISH,21-379-03435,5.150335238095238,1081.5704,38.3222
DHAMANAGAR,21-378-03327,1.169364,350.80920000000003,24.6604
DHANKAUDA,21-372-03559,1.3319127083333333,639.3181,67.4412
DHARAKOTE,21-388-03371,3.824153541666667,1835.5937000000001,56.7822
DHARAMAGARH,21-395-03410,1.6635261538461539,648.7752,25.2388
DHENKANAL SADAR,21-383-03350,4.186468823529412,2135.0991,74.5687
DIGAPAHANDI,21-388-03372,5.885058039215687,3001.3796,77.2241
DUNGURIPALI,21-392-03569,0.23217878787878787,76.619,5.6425
ERASAMA,21-380-03388,8.1558575,1957.4058,56.7596
G.UDAYAGIRI,21-390-03425,5.4777708333333335,1314.665,69.6067
GAISILET,21-370-03317,2.3152142857142857,972.39,54.4098
GANIA,21-385-03525,3.173613095238095,1332.9175,50.7604
GANJAM,21-388-03373,7.070825416666666,1696.9980999999998,85.9537
GARADAPUR,21-379-03436,5.958908333333334,1072.6035,51.617
GHASIPURA,21-375-03446,1.8355604761904762,770.9354000000001,29.3402
GHATGAON,21-375-03447,1.1874535632183907,1033.0846,28.9464
GOLAMUNDA,21-395-03411,0.68988,517.41,8.5567
GONDIA,21-383-03351,5.691885909090909,3756.6447000000003,74.0143
GOP,21-387-03539,2.089055925925926,564.0450999999999,31.2336
GOPABANDHUNAGAR,21-376-03494,4.249737333333333,637.4606,74.4358
GOSANI,21-389-03357,5.523201666666666,1325.5683999999999,57.4027
GUDARI,21-396-03549,3.7389437254901963,1906.8613,48.3373
GUDVELLA,21-393-03289,1.1057275,265.3746,34.9065
GUMMA,21-389-03358,5.952498809523809,2500.0495,83.5117
GUNUPUR,21-396-03550,4.354456388888889,3135.2086000000004,84.2114
GURUNDIA,21-374-03577,0.5631757971014493,777.1826,21.9907
HARABHANGA,21-391-03330,1.3192488095238095,1662.2535,52.7779
HARICHADANPUR,21-375-03448,1.6912302941176471,1725.0549,32.3257
HATADIHI,21-375-03449,1.2806840476190477,537.8873,31.7261
HEMGIR,21-374-03578,2.528993908045977,2200.2246999999998,55.3872
HINDOL,21-383-03352,1.875451923076923,1462.8525,27.6597
HINJILICUT,21-388-03374,6.58602380952381,1383.065,82.2067
JAGANNATHPRASAD,21-388-03375,2.242459135802469,1816.3919,40.7056
JAGATSINGHPUR,21-380-03389,6.788820476190477,1425.6523,52.4714
JAJPUR,21-382-03400,4.660071904761905,978.6151,38.3393
JALESWAR,21-377-03303,2.8419713888888887,1023.1097,67.5577
JAMANKIRA,21-372-03560,0.3798975238095238,398.8924,9.7365
JAMDA,21-376-03495,1.4475483333333334,347.4116,11.1977
JATNI,21-386-03463,4.1138325,987.3198,40.434
JAYAPATNA,21-395-03412,0.815568947368421,464.87429999999995,36.7382
JEYPORE,21-398-03470,5.236953125,2513.7375,91.0548
JHARBANDH,21-370-03318,1.2979125925925925,700.8728,37.0772
JHARIGAM,21-397-03515,1.9143147474747475,1895.1716,134.333
JHARSUGUDA,21-371-03404,1.4869899999999998,669.1455,31.4463
JHUMPURA,21-375-03450,1.7015711111111111,918.8484,38.704
JODA,21-375-03451,2.407781466666667,1805.8361,45.8493
JOSHIPUR,21-376-03496,2.678173645833333,2571.0467,50.1543
JUJOMURA,21-372-03561,1.4477422222222223,1042.3744,62.4861
JUNAGARH,21-395-03413,1.9069030303030303,1258.556,24.9116
K.NUAGAN,21-390-03426,3.051309696969697,2013.8644000000002,33.6275
KABISURYANAGAR,21-388-03376,5.800850476190476,1218.1786,59.2981
KAKAT PUR,21-387-03540,3.6446433333333332,328.0179,29.1915
KALAMPUR,21-395-03414,1.112042,166.8063,24.2019
KALIMELA,21-399-03480,4.49534837398374,5529.2785,70.9331
KALYANSINGPUR,21-396-03551,1.924906956521739,1328.1858,36.7712
KAMAKHYANAGAR,21-383-03353,3.1286439682539684,1971.0457,84.7981
KANAS,21-387-03541,2.602512,390.3768,26.0292
KANIHA,21-384-03280,0.9170488,687.7866,21.2108
KANKADA HAD,21-383-03354,2.158545357142857,1813.1780999999999,86.1646
KANTAMAL,21-391-03331,0.6530871717171717,646.5563,12.419
KANTAPADA,21-381-03338,6.8692850000000005,824.3142,69.165
KAPTIPADA,21-376-03497,2.353037777777778,1482.4138,45.4679
KARANJIA,21-376-03498,2.232532463768116,1540.4474,32.1988
KARLAMUNDA,21-395-03415,2.896554285714286,608.2764,41.1178
KASINAGAR,21-389-03359,2.6598688888888886,478.7764,53.6007
KASIPUR,21-396-03552,1.5302775,2203.5996,41.1271
KENDRAPADA,21-379-03437,4.126205714285715,866.5032,47.9649
KENDUJHAR SADAR,21-375-03452,1.6846225,1010.7735,27.5593
KESINGA,21-395-03416,1.2194606666666667,731.6764000000001,12.9314
KHAIRA,21-377-03304,1.5462371794871794,603.0325,26.35
KHAIRAPUT,21-399-03481,2.7692614285714283,1163.0898,34.1895
KHAJURIPADA,21-390-03427,1.9504560317460318,1228.7873,68.2998
KHALLIKOTE,21-388-03377,4.863367777777778,1313.1093,84.483
KHANDAPARA,21-385-03526,2.907528888888889,1046.7104,69.7967
KHAPRAKHOL,21-393-03290,0.5939916666666666,392.0345,13.1485
KHARIAR,21-394-03532,0.5104438461538462,199.0731,8.054
KHORDHA,21-386-03464,3.8995216666666668,1403.8278,48.8256
KHUNTA,21-376-03499,3.8568083333333334,925.634,74.3726
KIRMIRA,21-371-03405,1.4706241666666666,352.9498,39.4337
KISHORENAGAR,21-384-03281,0.3553510752688172,330.4765,8.5555
KOIDA,21-374-03579,1.3431272619047618,1128.2269000000001,43.2823
KOKASARA,21-395-03417,2.096847543859649,1195.2031,133.6328
KOLABIRA,21-371-03406,0.7032537037037037,189.8785,27.1839
KOLNARA,21-396-03553,2.9331897435897436,1143.944,44.8011
KOMNA,21-394-03533,0.6926423076923077,810.3915000000001,17.3798
KORAPUT,21-398-03471,5.8634522222222225,3693.9749,90.7733
KOREI,21-382-03401,2.510780555555556,903.881,38.6376
KORUKONDA,21-399-03482,4.48835219047619,4712.7698,75.5544
KOSAGUMUDA,21-397-03516,3.3646320833333334,2422.5351,29.6597
KOTAGARH,21-390-03428,3.8380375641025646,2993.6693,94.3917
KOTPAD,21-398-03472,3.822673333333334,1834.8832000000002,49.0037
KRUSHNAPRASAD,21-387-03542,5.837447222222222,4202.962,56.0813
KUARMUNDA,21-374-03580,0.6745795454545455,445.22249999999997,21.9026
KUCHINDA,21-372-03562,0.6940429629629629,374.7832,11.9786
KUJANG,21-380-03390,8.128065416666667,1950.7357,55.8815
KUKUDAKHANDI,21-388-03378,6.04463125,1450.7115000000001,77.0883
KULIANA,21-376-03500,4.721524545454545,1558.1031,88.1254
KUNDURA,21-398-03473,4.738705833333333,1705.9341,90.9374
KUSUMI,21-376-03501,1.05486,348.1038,12.4845
KUTRA,21-374-03581,0.36647060606060605,120.9353,5.6724
LAHUNIPARA,21-374-03582,0.573932738095238,482.1035,19.0917
LAIKERA,21-371-03407,1.4901663333333333,447.0499,41.2492
LAKHANPUR,21-371-03408,0.7437276344086021,691.6667,28.6689
LAMTAPUT,21-398-03474,5.154510303030303,3401.9768,91.2149
LANJIGARH,21-395-03418,1.7228764761904762,1809.0203000000001,35.6564
LATHIKATA,21-374-03583,0.5742485416666666,275.6393,8.4489
LAXMIPUR,21-398-03475,2.980924210526316,1699.1268,37.207
LEPHRIPARA,21-374-03584,1.1853613333333333,711.2168,55.4587
LOISINGA,21-393-03291,2.415172,1086.8274,49.0036
MADANPUR RAMPUR,21-395-03419,1.866097222222222,1679.4875,42.1677
MAHAKALAPADA,21-379-03438,5.143621515151515,1697.3951,55.7215
MAHANGA,21-381-03339,4.993495416666666,1198.4388999999999,38.5484
MALKANGIRI,21-399-03484,4.727253148148148,2552.7167,75.9967
MANESWAR,21-372-03563,2.7477547058823526,1401.3548999999998,70.6609
MARSAGHAI,21-379-03439,5.176435,931.7583,55.3909
MATHILI,21-399-03485,4.471620987654321,3622.013,48.0247
MOHANA,21-389-03360,4.435951895424837,6787.0064,82.4561
MORADA,21-376-03502,3.5477630303030305,1170.7618,87.7016
MUNIGUDA,21-396-03554,2.269870476190476,1430.0184,89.7898
MURIBAHAL,21-393-03292,1.3728664814814815,741.3479,26.9733
NABARANGPUR,21-397-03517,5.577874761904763,1171.3537000000001,39.0736
NAKTIDEUL,21-372-03564,1.3320185,1598.4222,45.83
NANDAHANDI,21-397-03518,3.3664429166666667,807.9463000000001,50.7142
NANDAPUR,21-398-03476,2.903021388888889,2090.1754,56.8134
NARALA,21-395-03420,1.5610878787878788,515.159,43.6103
NARASINGHPUR,21-381-03340,1.512877619047619,953.1129,46.9967
NARAYAN PATANA,21-398-03477,2.5937354901960785,1322.8051,34.2576
NAUGAON,21-380-03391,5.4733350000000005,656.8002,51.9755
NAYAGARH,21-385-03527,2.6263799999999997,1024.2882,60.4236
NIALI,21-381-03341,6.410405238095238,1346.1851,69.1997
NILGIRI,21-377-03305,0.9039928205128205,352.55719999999997,42.6331
NIMAPADA,21-387-03543,1.6324377777777777,440.7582,26.8592
NISCHINTA KOILI,21-381-03342,5.573543333333333,1003.2378,52.1345
NUAGADA,21-389-03361,6.560053518518519,3542.4289000000003,81.8258
NUAGAON,21-374-03585,0.5706760784313725,291.0448,13.6468
NUAGAON,21-385-03528,2.070422121212121,1366.4786,31.0214
NUAPADA,21-394-03534,1.2182108823529412,1242.5751,37.1043
ODAGAON,21-385-03529,2.0473322916666667,982.7195,30.0836
ODAPADA,21-383-03355,2.086269166666667,751.0568999999999,35.0076
OUPADA,21-377-03306,1.2418448484848486,409.80879999999996,33.4808
PADAMPUR,21-370-03319,1.3381373015873017,843.0265,53.6975
PADMAPUR,21-396-03555,5.8187952380952375,2443.894,75.6032
PAIKMAL,21-370-03320,1.4414348611111112,1037.8331,36.7421
PALALAHADA,21-384-03282,0.6773462878787878,894.0971,8.4949
PAPADAHANDI,21-397-03519,6.216098333333333,3729.6589999999997,135.0106
PARJANG,21-383-03356,1.5331685185185184,827.911,29.7089
PATANA,21-375-03453,1.7635054761904763,740.6723,29.6828
PATNAGARH,21-393-03293,1.2265496825396827,772.7263,54.6803
PATRAPUR,21-388-03379,4.480905925925926,2419.6892,89.9742
