block_name,object_id,Mean_Daily_Runoff,Sum_Runoff,Peak_Runoff
AGALPUR,21-393-03284,0.7834412903225807,242.86679999999998,14.5801
AMBABHONA,21-370-03310,0.8960018232819074,638.8493,32.3003
ANANDAPUR,21-375-03443,3.169290152801358,1866.7119,54.0574
ANUGUL,21-384-03276,0.3387934677419355,420.1039,10.0871
ASKA,21-388-03364,2.9910419354838713,556.3338,35.489
ASTARANGA,21-387-03536,1.2983187096774191,201.2394,19.2265
ATHAGAD,21-381-03332,5.102766129032258,2214.6005,57.5885
ATHMALLIK,21-384-03277,0.2766258064516129,300.139,4.8306
ATTABIRA,21-370-03311,0.6725134897360703,458.6542,12.0102
AUL,21-379-03434,0.9945407258064516,246.6461,6.0929
BADAMBA,21-381-03333,2.0270523041474653,879.7407000000001,31.0607
BADASAHI,21-376-03487,6.119751843317972,2655.9723,38.9149
BADCHANA,21-382-03394,3.1795347394540947,1281.3525,45.8514
BAHALDA,21-376-03488,1.1994462365591398,446.194,18.3837
BAHANAGA,21-377-03298,1.8185990783410138,394.63599999999997,23.9689
BALANGIR,21-393-03285,1.609383440860215,748.3633,19.4557
BALESHWAR,21-377-03299,6.267705376344086,2914.483,39.7038
BALIANTA,21-386-03456,6.647579032258064,1236.4497000000001,73.0456
BALIAPAL,21-377-03300,3.2678580645161293,202.6072,36.4538
BALIGUDA,21-390-03422,0.5065936524453695,486.8365,19.8919
BALIKUDA,21-380-03386,4.01411814516129,995.5013,75.4826
BALIPATNA,21-386-03457,6.482986451612903,1004.8629,73.0919
BALISANKARA,21-374-03573,1.0549639551192145,752.1893,26.1926
BAMRA,21-372-03558,1.0010377688172043,744.7721,31.3094
BANAPUR,21-386-03458,2.4718913306451613,1226.0581,53.6855
BANARPAL,21-384-03278,0.8330249999999999,206.59019999999998,8.32
BANDHUGAON,21-398-03466,2.365732258064516,1026.7278,44.275
BANGOMUNDA,21-393-03286,1.332899007444169,537.1583,29.6508
BANGRIPOSI,21-376-03489,1.017568262226847,977.8831,31.9323
BANKI,21-381-03334,1.8664244239631336,405.0141,52.842
BANKI- DAMPARA,21-381-03335,2.604200586510264,888.0324,54.3004
BANSAPAL,21-375-03444,1.0062825806451612,1403.7642,29.9102
BARANGA,21-381-03336,5.158906451612903,479.7783,53.6313
BARGAON,21-374-03574,0.7418391129032258,367.9522,10.8759
BARGARH,21-370-03312,0.9240758064516129,286.4635,13.9124
BARI,21-382-03395,1.9263231182795697,358.29609999999997,17.681
BARIPADA,21-376-03490,7.269400879765396,2478.8657,99.6586
BARKOTE,21-373-03346,2.590881524926686,2650.4718000000003,55.6673
BARPALI,21-370-03313,0.9833655086848635,396.2963,14.3035
BASTA,21-377-03301,2.639052688172043,490.86379999999997,36.5085
BASUDEVPUR,21-378-03322,1.6713584677419357,828.9938000000001,29.5855
BEGUNIA,21-386-03459,2.0642541474654377,895.8863,41.2753
BEGUNIAPADA,21-388-03365,1.4198433179723502,308.106,16.3163
BELLAGUNTHA,21-388-03366,2.3350576612903224,579.0943,35.3746
BELPARA,21-393-03287,1.1168734767025088,623.2154,15.3442
BETNOTI,21-376-03491,2.6307512544802867,733.9796,39.6045
BHADRAK,21-378-03323,1.6307124069478909,657.1771,22.7395
BHANDARIPOKHARI,21-378-03324,0.6432317972350231,139.5813,18.8085
BHANJANAGAR,21-388-03367,1.0716993279569893,797.3443,36.1952
BHAPUR,21-385-03523,2.288183870967742,496.5359,28.8616
BHATLI,21-370-03314,0.7897652073732719,342.7581,15.0107
BHAWANIPATNA,21-395-03409,1.015666129032258,944.5695000000001,21.29
BHEDEN,21-370-03315,1.2134116625310172,489.0049,16.6806
BHOGRAI,21-377-03302,3.976722119815668,862.9487,68.333
BHUBAN,21-383-03349,5.389190322580645,1336.5192,59.0447
BHUBANESWAR,21-386-03460,3.775947311827957,1755.8155,31.696
BIJATALA,21-376-03492,0.8175574193548386,253.4428,7.9995
BIJEPUR,21-370-03316,0.6605403225806451,245.721,12.3652
BINIKA,21-392-03567,0.3203909090909091,109.2533,12.6225
BINJHARPUR,21-382-03396,1.3856903225806452,300.6948,22.6216
BIRIDI,21-380-03387,7.221759139784946,671.6236,73.0412
BIRMAHARAJPUR,21-392-03568,1.2477168734491313,502.82989999999995,36.838
BISOI,21-376-03493,0.9563761786600496,385.4196,21.7177
BISRA,21-374-03575,0.9341950146627566,318.5605,49.8618
BISSAMCUTTACK,21-396-03547,0.9600032258064517,714.2424,17.1376
BODEN,21-394-03531,1.1510228195937873,963.4061,30.7568
BOIPARIGUDA,21-398-03467,1.475340802092415,1692.2159,32.8963
BOLAGARH,21-386-03461,2.0210391705069126,438.5655,29.0306
BONAIGARH,21-374-03576,1.061842943548387,526.6741,16.0226
BONTH,21-378-03325,2.285589605734767,637.6795000000001,39.5147
BORIGUMMA,21-398-03468,5.249517741935484,3580.1711,65.8544
BOUDH,21-391-03329,0.4619559833506764,443.9397,6.59
BRAHMAGIRI,21-387-03537,0.591208064516129,109.96470000000001,5.8366
BUGUDA,21-388-03368,2.1257006451612903,988.4508000000001,36.1875
CHAKAPAD,21-390-03423,1.8277582795698923,849.9076,36.6043
CHAMPUA,21-375-03445,0.9010654377880185,391.0624,22.6344
CHANDABALI,21-378-03326,1.5429195698924734,717.4576000000001,38.654
CHANDAHANDI,21-397-03513,1.7158693548387096,425.5356,16.7511
CHANDRAPUR,21-396-03548,1.7937681581685745,1723.8112,52.131
CHATRAPUR,21-388-03369,3.5791387096774194,110.9533,24.8738
CHHENDIPADA,21-384-03279,0.7154332355816228,731.8882,17.5188
CHIKITI,21-388-03370,1.3846770967741935,429.2499,21.5383
CHILIKA,21-386-03462,4.224859677419355,261.9413,51.9225
CHITRAKONDA,21-399-03483,0.8678086021505378,968.4744000000001,13.1108
CUTTACKSADAR,21-381-03337,5.723171889400922,2483.8566,73.5743
DABUGAM,21-397-03514,6.467544239631337,2806.9142,77.5618
DAHRMASALA,21-382-03397,3.1760394540942927,1279.9439,45.4284
DANAGADI,21-382-03398,1.646405069124424,714.5398,56.1402
DARINGIBADI,21-390-03424,0.690556917562724,963.3269,11.2608
DASAMANTAPUR,21-398-03469,3.276491259105099,3148.7081000000003,60.7692
DASAPALLA,21-385-03524,1.986775806451613,1970.8816000000002,35.8595
DASARATHAPUR,21-382-03399,1.2932935483870969,240.5526,23.3978
DELANGA,21-387-03538,5.174531797235024,1122.8734,51.054
DEOGAON,21-393-03288,1.7579555555555555,980.9392,59.558
DERABISH,21-379-03435,2.2970082949308757,498.4508,27.399
DHAMANAGAR,21-378-03327,1.0116845161290322,313.6222,6.0472
DHANKAUDA,21-372-03559,0.7413977822580645,367.7333,30.1793
DHARAKOTE,21-388-03371,2.168953024193548,1075.8007,33.3925
DHARAMAGARH,21-395-03410,1.6864223325062035,679.6282,37.4273
DHENKANAL SADAR,21-383-03350,3.826352182163188,2016.4876,59.0486
DIGAPAHANDI,21-388-03372,0.7239703984819734,381.5324,14.3796
DUNGURIPALI,21-392-03569,0.7291055718475073,248.625,12.3197
ERASAMA,21-380-03388,6.044810483870967,1499.1129999999998,75.2474
G.UDAYAGIRI,21-390-03425,1.148325806451613,284.7848,26.4214
GAISILET,21-370-03317,0.3708403225806452,160.9447,17.3083
GANIA,21-385-03525,0.8014052995391705,347.80989999999997,19.1401
GANJAM,21-388-03373,3.859270161290323,957.099,27.3778
GARADAPUR,21-379-03436,3.9338010752688173,731.687,74.5103
GHASIPURA,21-375-03446,4.274704147465438,1855.2216,57.5471
GHATGAON,21-375-03447,1.1805740823136819,1061.3361,36.6507
GOLAMUNDA,21-395-03411,2.3743309677419355,1840.1064999999999,38.4366
GONDIA,21-383-03351,6.355891202346041,4334.717799999999,58.8634
GOP,21-387-03539,0.8339286738351255,232.6661,15.9032
GOPABANDHUNAGAR,21-376-03494,6.105512258064516,946.3543999999999,39.1988
GOSANI,21-389-03357,3.9699096774193547,984.5376,49.4519
GUDARI,21-396-03549,1.9118483870967742,1007.5441,26.3619
GUDVELLA,21-393-03289,1.7702145161290324,439.01320000000004,62.1324
GUMMA,21-389-03358,1.9396230414746543,841.7964,46.9687
GUNUPUR,21-396-03550,3.5623870967741933,2650.4159999999997,62.3643
GURUNDIA,21-374-03577,0.5120171809256662,730.1365,16.8193
HARABHANGA,21-391-03330,0.3753327188940092,488.6832,7.1352
HARICHADANPUR,21-375-03448,2.1014034155597723,2214.8792,56.167
HATADIHI,21-375-03449,2.59504400921659,1126.2491,39.1668
HEMGIR,21-374-03578,0.8260875417130145,742.6527,24.0356
HINDOL,21-383-03352,1.121534987593052,903.9572000000001,19.9471
HINJILICUT,21-388-03374,4.1453299539170505,899.5366,27.0022
JAGANNATHPRASAD,21-388-03375,1.8829029868578258,1575.9898,33.7239
JAGATSINGHPUR,21-380-03389,5.688649769585254,1234.4370000000001,75.1175
JAJPUR,21-382-03400,2.176864055299539,472.3795,22.1671
JALESWAR,21-377-03303,4.421752688172043,1644.892,47.5208
JAMANKIRA,21-372-03560,0.2158521658986175,234.1996,4.0341
JAMDA,21-376-03495,0.6864266129032258,170.2338,8.0373
JATNI,21-386-03463,3.7206040322580645,922.7098,48.046
JAYAPATNA,21-395-03412,3.1979400679117145,1883.5866999999998,43.4392
JEYPORE,21-398-03470,3.2929887096774193,1633.3224,57.0128
JHARBANDH,21-370-03318,0.6754120071684587,376.87989999999996,27.5508
JHARIGAM,21-397-03515,3.673825219941349,3758.3232000000003,74.7989
JHARSUGUDA,21-371-03404,2.093246666666667,973.3597,25.9884
JHUMPURA,21-375-03450,1.033027240143369,576.4291999999999,24.8254
JODA,21-375-03451,1.5536609032258064,1204.0872,30.9978
JOSHIPUR,21-376-03496,1.2788440524193547,1268.6133,50.9337
JUJOMURA,21-372-03561,1.0192724462365592,758.3387,23.9297
JUNAGARH,21-395-03413,1.467758357771261,1001.0112,36.2369
K.NUAGAN,21-390-03426,0.5484810850439883,374.0641,13.2097
KABISURYANAGAR,21-388-03376,3.394124884792627,736.5251,36.3235
KAKAT PUR,21-387-03540,1.1209376344086024,104.2472,18.3819
KALAMPUR,21-395-03414,2.8121412903225806,435.8819,43.3581
KALIMELA,21-399-03480,1.8426423288749016,2341.9984,44.1372
KALYANSINGPUR,21-396-03551,0.3946973352033661,281.4192,5.6033
