class,age,male,female
0,0 to 1,1455.12,1351.95
1,1 to 5,5810.28,5388.98
10,10 to 15,7313.8,6964.12
15,15 to 20,6112.64,6087.05
20,20 to 25,5736.08,5709.12
25,25 to 30,5947.8,5676.85
30,30 to 35,5888.44,5856.06
35,35 to 40,5687.05,5371.91
40,40 to 45,5105.07,5026.1
45,45 to 50,4532.09,4410.89
5,5 to 10,7319.17,6819.9
50,50 to 55,3930.34,3962.14
55,55 to 60,3331.07,3549.76
60,60 to 65,3090.5,3186.68
65,65 to 70,1920.47,2084.28
70,70 to 75,1140.36,1473.18
75,75 to 80,635.05,911.3
80,80 and over,521.31,707.02
