class,age,male,female
0,0 to 1,744.82,657.65
1,1 to 5,2974.07,2621.45
10,10 to 15,4135.97,3713.1
15,15 to 20,4575.53,4202.17
20,20 to 25,5023.78,4593.24
25,25 to 30,4882,4680.04
30,30 to 35,4727.23,4339.71
35,35 to 40,4262.14,3923.86
40,40 to 45,3797.24,3436.43
45,45 to 50,3336.51,3034.18
5,5 to 10,3861.63,3431.81
50,50 to 55,2851.29,2687.04
55,55 to 60,2554.6,2217.44
60,60 to 65,1918.69,1677.51
65,65 to 70,1284.09,1132.29
70,70 to 75,892.21,900.4
75,75 to 80,651.26,642.69
80,80 and over,557.06,581.48
