class,age,male,female
0,0 to 1,691.09,646.61
1,1 to 5,2759.52,2577.42
10,10 to 15,3727.65,3536.31
15,15 to 20,3221.19,3100.47
20,20 to 25,3002.85,3077.9
25,25 to 30,3060.27,2993.63
30,30 to 35,2801.83,2778.05
35,35 to 40,2618.59,2644.98
40,40 to 45,2461.03,2532.46
45,45 to 50,2289.86,2259.83
5,5 to 10,3850.21,3530.68
50,50 to 55,1951.57,2039.53
55,55 to 60,1685.85,1651.89
60,60 to 65,1356.64,1382.44
65,65 to 70,868.14,897.82
70,70 to 75,515.34,642.12
75,75 to 80,308.56,391.72
80,80 and over,234.17,295.44
