class,age,male,female
0,0 to 1,368.82,322.66
1,1 to 5,1472.68,1286.13
10,10 to 15,2133.09,2047.93
15,15 to 20,2065.7,2040.65
20,20 to 25,2028.06,1856.38
25,25 to 30,1904.74,1821.76
30,30 to 35,1750.12,1771.56
35,35 to 40,1606.27,1630.46
40,40 to 45,1498.1,1473.19
45,45 to 50,1315.79,1241.35
5,5 to 10,1983.89,1783.24
50,50 to 55,1103.42,1172.91
55,55 to 60,973.18,969.09
60,60 to 65,836.33,856.4
65,65 to 70,573.8,561.92
70,70 to 75,408.06,450.57
75,75 to 80,264.75,267.06
80,80 and over,214.02,233.16
