class,age,male,female
0,0 to 1,1528.39,1440.92
1,1 to 5,6102.85,5743.6
10,10 to 15,7519.12,7190.41
15,15 to 20,6261,6361.02
20,20 to 25,5925.72,5975.77
25,25 to 30,6071.63,5747.57
30,30 to 35,5800.79,5788.99
35,35 to 40,5364.8,5115.71
40,40 to 45,4860.04,4992.39
45,45 to 50,4517.64,4345.87
5,5 to 10,7324.61,7094.39
50,50 to 55,3792.27,4032.57
55,55 to 60,3371.5,3656.83
60,60 to 65,3594.24,3768.25
65,65 to 70,2148.08,2346
70,70 to 75,1249.84,1576.62
75,75 to 80,651.67,1009.61
80,80 and over,574.63,868.48
