class,age,male,female
0,0 to 1,1525.85,1421.82
1,1 to 5,6092.7,5667.45
10,10 to 15,7177.58,6727.64
15,15 to 20,6532.12,6597.67
20,20 to 25,6678.41,6913.4
25,25 to 30,6996.09,6639.56
30,30 to 35,6522.31,6059.41
35,35 to 40,5793.86,5421.1
40,40 to 45,5249,5136.06
45,45 to 50,4811.56,4502.99
5,5 to 10,7611.18,7153.26
50,50 to 55,4025.94,4046.12
55,55 to 60,3474.66,3321.02
60,60 to 65,2809.91,2765.17
65,65 to 70,1755.85,1712.71
70,70 to 75,1066.81,1258.52
75,75 to 80,646.11,756.6
80,80 and over,507.29,582.94
