class,age,male,female
0,0 to 1,308,281.33
1,1 to 5,1229.86,1121.4
10,10 to 15,1670.29,1590.63
15,15 to 20,1854.01,1820.5
20,20 to 25,2031.68,1856.73
25,25 to 30,1973.42,1737.12
30,30 to 35,1780.17,1584.73
35,35 to 40,1571.72,1417.05
40,40 to 45,1384.1,1323.17
45,45 to 50,1249.81,1179.25
5,5 to 10,1489.31,1379.56
50,50 to 55,1060.67,1045.14
55,55 to 60,947.62,831.71
60,60 to 65,716.36,701.33
65,65 to 70,497.3,485.33
70,70 to 75,314.54,348.16
75,75 to 80,204.55,247.17
80,80 and over,178.16,198.98
